序号,cb_code,cb_name,price,change_pct,stock_code,stock_name,stock_price,stock_change_pct,convert_price,convert_value,premium_rate,pure_bond_premium,put_trigger_price,call_trigger_price,redemption_price,pure_bond_value,convert_start_date_x,list_date,ipo_date,volume,high,low,open,outstanding,maturity_date,redeem_status,convert_start_date_y,last_trade_date,years_to_maturity,double_low,price_deviation,cv_deviation,premium_rank_pct,double_low_rank_pct,composite_score,premium_score,double_low_score,cv_score,st_bond_floor,st_put_value,st_call_option_value,st_revision_value,st_redemption_loss,st_total_value,st_current_price,st_value_deviation
253,128129,青农转债,107.823,-0.16,002958,青农商行,3.11,-0.32,4.0,77.75,38.68,0.86,-,5.2,108.0,106.9058,20210301,20200918,20200825,19893.6464,108.189,107.726,108.005,49.997,2026-08-25,,2021-03-01,,0.63,146.503,7.822999999999994,-22.25,59.60526315789474,6.052631578947368,40.30921052631579,40.39473684210526,93.94736842105263,17.894736842105264,97.55937204281815,10.3,3.352153742734862,13.348422242131669,0.0,124.55994802768467,107.823,-13.436861762309604
245,113037,紫银转债,109.82,-0.14,601860,紫金银行,2.77,-0.72,3.65,75.8904,44.71,0.73,-,4.75,110.0,109.0249,20210129,20200817,20200723,10311.3448,110.190,109.700,109.990,44.995,2026-07-23,,2021-01-29,,0.54,154.53,9.819999999999993,-24.1096,67.10526315789474,11.31578947368421,36.09210526315789,32.89473684210527,88.68421052631578,16.05263157894737,97.90435188377572,10.3,2.3230802974437066,13.375650620810058,0.0,123.90308280202949,109.82,-11.366208558774309
198,113563,柳药转债,107.906,0.01,603368,柳药集团,18.4,0.55,21.18,86.8744,24.21,-0.05,14.83,27.53,108.0,107.9581,20200722,20200224,20200116,4990.6052,107.928,107.850,107.895,8.017,2026-01-16,已公告强赎,2020-07-22,2026-01-12,0.02,132.116,7.906000000000006,-13.125600000000007,31.842105263157894,0.7894736842105263,52.68421052631579,68.15789473684211,99.21052631578947,26.842105263157894,99.92158933093758,10.3,0.008035452994880994,8.967630236139968,0.0,119.19725502007242,107.906,-9.47274752104904
352,127028,英特转债,137.33,-0.97,000411,英特集团,12.77,-1.16,9.3,137.3118,0.01,37.29,6.51,12.09,108.0,100.0321,20210712,20210310,20210105,15762.0025,140.700,136.701,138.888,1.651,2027-01-05,已公告强赎,2021-07-12,2026-01-19,0.99,137.34,37.33000000000001,37.311800000000005,1.710526315789474,1.5789473684210527,71.2828947368421,98.28947368421052,98.42105263157895,81.84210526315789,96.19156577450059,10.3,44.221601146044705,0.0,0.0,150.7131669205453,137.33,-8.879892310670355
309,127016,鲁泰转债,111.314,-0.43,000726,鲁  泰Ａ,7.17,-0.14,8.39,85.4589,30.25,0.69,5.87,10.91,111.0,110.547,20201015,20200513,20200409,7108.8326,112.026,111.300,111.800,13.998,2026-04-09,,2020-10-15,,0.25,141.564,11.313999999999993,-14.541100000000002,44.73684210526316,4.2105263157894735,47.118421052631575,55.263157894736835,95.78947368421052,25.526315789473685,99.02427357425654,10.3,2.1880172279600796,10.450267020143306,0.0,121.96255782235991,111.314,-8.731005656563621
201,128097,奥佳转债,110.141,0.0,002614,奥佳华,7.27,-2.02,9.35,77.754,41.65,0.68,6.55,12.16,110.0,109.393,20200902,20200318,20200225,4024.5707,110.462,110.102,110.185,4.582,2026-02-25,,2020-09-02,,0.13,151.791,10.141000000000005,-22.245999999999995,63.1578947368421,8.947368421052632,38.381578947368425,36.8421052631579,91.05263157894737,18.157894736842106,99.49142835603763,10.3,0.17890974902644438,10.45218811302275,0.0,120.42252621808683,110.141,-8.537876210524633
169,110073,国投转债,113.687,0.12,600061,国投资本,7.84,-0.88,9.42,83.2272,36.6,7.18,-,12.25,107.0,106.0672,20210201,20200820,20200724,28077.7058,114.700,112.613,113.551,79.992,2026-07-24,,2021-02-01,,0.54,150.287,13.686999999999996,-16.772800000000004,55.78947368421052,7.105263157894736,42.21052631578947,44.21052631578948,92.89473684210526,23.42105263157895,97.90435188377572,10.3,4.292380569525228,11.800210403144826,0.0,124.29694285644578,113.687,-8.535964451434273
374,128116,瑞达转债,132.8,-2.06,002961,瑞达期货,27.05,-2.06,20.32,133.1201,-0.24,31.4,14.22,26.42,110.0,101.0656,20210104,20200724,20200629,27749.3798,137.600,132.511,135.000,2.544,2026-06-29,已公告强赎,2021-01-04,2026-01-13,0.47,132.56,32.80000000000001,33.12010000000001,0.7894736842105263,1.0526315789473684,71.34210526315789,99.21052631578947,98.94736842105263,79.21052631578948,98.1735126935896,10.3,36.24039178937861,0.0,0.0,144.71390448296822,132.8,-8.23272962299928
93,127027,能化转债,116.5,0.56,000552,甘肃能化,2.39,1.27,2.93,81.57,42.82,7.52,2.05,3.81,110.0,108.3532,20210616,20210122,20201210,14631.1301,116.779,115.010,116.096,19.464,2026-12-10,,2021-06-16,,0.92,159.32,16.5,-18.430000000000007,64.21052631578948,16.315789473684212,36.88157894736842,35.78947368421053,83.68421052631578,22.894736842105264,96.45601775485655,10.3,6.5734144238145396,13.054480933144257,0.0,126.38391311181535,116.5,-7.820546831043897
140,123049,维尔转债,125.505,0.24,300190,维尔利,4.37,1.16,3.55,123.0986,1.95,8.79,2.49,4.62,118.0,115.3696,20201019,20200512,20200413,5862.4985,125.979,124.983,125.200,6.836,2026-04-13,,2020-10-19,,0.26,127.455,25.504999999999995,23.098600000000005,3.684210526315789,0.5263157894736842,69.47368421052632,96.3157894736842,99.47368421052632,72.63157894736842,98.98544316324566,10.3,25.256054324792576,0.0,0.0,134.54149748803823,125.505,-6.7165132369971206
376,113593,沪工转债,140.293,-2.47,603131,上海沪工,29.14,-2.93,21.09,138.1697,1.54,26.27,14.76,27.42,115.0,111.1088,20210125,20200810,20200720,42823.4934,143.700,138.669,143.301,1.781,2026-07-20,公告要强赎,2021-01-25,,0.53,141.833,40.293000000000006,38.169700000000006,3.1578947368421053,4.473684210526316,70.13157894736842,96.84210526315789,95.52631578947368,82.36842105263158,97.94275819991584,10.3,41.307101349035285,0.0,0.0,149.54985954895113,140.293,-6.189814939893769
335,110075,南航转债,136.394,-0.66,600029,南方航空,8.15,0.74,6.17,132.0908,3.26,29.67,4.32,8.02,106.5,105.1817,20210421,20201103,20201015,39237.3237,139.062,136.140,137.780,58.96,2026-10-15,,2021-04-21,,0.77,139.654,36.394000000000005,32.0908,4.473684210526316,2.631578947368421,69.53947368421052,95.52631578947368,97.36842105263158,78.42105263157895,97.02515132080232,10.3,37.962678220975796,0.0,0.0,145.2878295417781,136.394,-6.121524128915868
